Source	Target	Weight
Ciri	Mistle	12
Mistle	Little	1
Ciri	Iskra	2
Iskra	Kayleigh	6
Kayleigh	Mistle	6
Mistle	Ciri	7
Mistle	Iskra	4
Mistle	Kayleigh	3
Falka	Ciri	2
Ciri	Falka	3
Mistle	Falka	1
Falka	Mistle	1
Kayleigh	Emhyr	1
Emhyr	Kayleigh	1
Aen	Mistle	1
Aen	Rudiger	1
Mistle	Rudiger	1
Rudiger	Mistle	1
Mistle	Asse	2
Kayleigh	Asse	1
Milva	Forest	1
Forest	Milva	1
Maria	Milva	6
Codringher	Milva	2
Milva	Geralt	51
Milva	Maria	4
Geralt	Maria	1
Milva	Ori	7
Ori	Philippa	4
Philippa	Ori	2
Ori	Triss	1
Philippa	Triss	3
Yennefer	Artaud	1
Artaud	Yennefer	1
Artaud	Ori	2
Yennefer	Ori	2
Yennefer	Milva	2
Ori	Milva	8
Ori	Maria	1
Emhyr	Milva	2
Shilard	Francesca	1
Ori	Stefan	1
Philippa	Stefan	1
Philippa	Emhyr	3
Stefan	Emhyr	1
Milva	Little	1
Little	Aen	1
Little	Milva	1
Aen	Milva	2
Milva	Toruviel	3
Toruviel	Milva	3
Margarita	Philippa	3
Philippa	Keira	2
Keira	Triss	3
Keira	Philippa	3
Triss	Philippa	5
Philippa	Assire	5
Assire	Philippa	8
Philippa	Sabrina	8
Sabrina	Sheala	1
Sabrina	Francesca	4
Sheala	Francesca	4
Francesca	Philippa	7
Philippa	Margarita	2
Philippa	Francesca	3
Margarita	Francesca	1
Margarita	Assire	2
Francesca	Assire	4
Sabrina	Philippa	5
Sabrina	Emhyr	2
Francesca	Sabrina	2
Philippa	Sheala	1
Sheala	Philippa	5
Assire	Sabrina	2
Margarita	Sheala	2
Francesca	King	1
King	Francesca	1
King	Assire	1
King	Triss	1
Francesca	Triss	2
Francesca	Keira	2
Assire	Triss	2
Assire	Keira	1
Triss	Keira	1
Triss	Sabrina	1
Keira	Sabrina	1
Sabrina	Assire	4
Francesca	Emhyr	1
Assire	Emhyr	2
Sabrina	Margarita	1
Emhyr	Margarita	1
Emhyr	Sheala	1
Sheala	Assire	1
Assire	Francesca	6
Francesca	Sheala	1
Two	Mistle	1
Two	Falka	1
Mistle	Falka	3
Asse	Kayleigh	1
Asse	Little	1
Kayleigh	Little	1
Falka	Little	1
Dandelion	Geralt	72
Geralt	Dandelion	70
Dandelion	Roach	3
Roach	Dandelion	3
Dandelion	Riordain	1
Aen	Dandelion	2
Aen	Geralt	1
Geralt	Milva	45
Dandelion	Milva	60
Milva	Dandelion	61
Milva	Ciri	15
Geralt	Ciri	5
Dandelion	Ciri	7
Ciri	Milva	13
Milva	Emhyr	1
Emhyr	Ciri	3
Ciri	Geralt	9
Ciri	Emhyr	1
Geralt	Emhyr	2
Geralt	Roach	2
Milva	Roach	4
Dandelion	Zoltan	29
Milva	Zoltan	34
Milva	Field	3
Zoltan	Field	8
Field	Percival	3
Field	Zoltan	5
Percival	Zoltan	18
Geralt	Zoltan	44
Zoltan	Milva	27
Zoltan	Munro	3
Zoltan	Figgis	1
Munro	Figgis	1
Munro	Zoltan	3
Figgis	Zoltan	1
Figgis	Geralt	2
Figgis	Dandelion	1
Zoltan	Geralt	33
Zoltan	Dandelion	27
Dandelion	Figgis	2
Figgis	Milva	3
Milva	Percival	10
Percival	Geralt	14
Munro	Geralt	2
Geralt	Field	6
Field	Milva	3
Zoltan	Percival	25
Ciri	Dandelion	7
Maria	Zoltan	1
Geralt	Percival	8
Munro	Percival	1
Percival	Milva	4
Cahir	Zoltan	2
Zoltan	Ciri	4
Geralt	Cahir	11
Philippa	Zoltan	1
Zoltan	King	1
King	Percival	1
Dandelion	Field	3
Field	Two	1
Two	Zoltan	3
Dandelion	Percival	14
Percival	Figgis	1
Field	Geralt	4
Emiel	Zoltan	3
Emiel	Geralt	3
Zoltan	Emiel	2
Geralt	Sir	2
Sir	Zoltan	2
Zoltan	Sir	1
Percival	Dandelion	4
Yennefer	Dandelion	3
Yennefer	Geralt	7
Zoltan	Two	2
Geralt	Two	2
Two	Percival	1
Zoltan	Brouver	1
Percival	King	1
King	Brouver	1
Dandelion	Count	5
Ciri	Count	2
Falka	Ciri	5
Ciri	Falka	1
Falka	Kayleigh	1
Ciri	Kayleigh	3
Kayleigh	Ciri	1
Emiel	Percival	1
Geralt	Emiel	2
Munro	Dandelion	1
Munro	Milva	2
Two	Dandelion	1
Dandelion	Munro	1
Percival	Sir	2
Geralt	Count	4
Count	Dandelion	4
Field	Sir	1
Sir	Percival	1
Geralt	Kayleigh	1
Mistle	Ciri	5
Dandelion	Aubry	1
Dandelion	Sir	4
Aubry	Sir	2
Aubry	Geralt	1
Aubry	Dandelion	1
Sir	Geralt	3
Sir	Dandelion	3
Dandelion	Emhyr	2
Daniel	Dandelion	1
Count	Foltest	1
Count	Geralt	2
Foltest	Geralt	1
Foltest	Count	1
Calanthe	Pavetta	1
Calanthe	Geralt	1
Pavetta	Geralt	1
Count	Daniel	1
Dandelion	Daniel	1
Dandelion	Calanthe	1
Daniel	Calanthe	1
Daniel	Emhyr	1
Calanthe	Emhyr	1
Emhyr	Calanthe	2
Vissegerd	Foltest	2
Vissegerd	Daniel	1
Foltest	Daniel	1
Foltest	Vissegerd	1
Daniel	Vissegerd	1
Vissegerd	Geralt	8
Geralt	Vissegerd	7
Dandelion	Vissegerd	9
Vissegerd	Count	4
Count	Vissegerd	3
Count	Sir	3
Vissegerd	Sir	2
Sir	Vissegerd	1
Vreemde	Morteisen	1
Cahir	Dandelion	12
Sir	Demavend	1
Demavend	Vilgefortz	1
Demavend	Rience	1
Vilgefortz	Rience	1
Vattier	Francesca	1
Francesca	Cahir	1
Cahir	Rience	2
Stefan	Vattier	1
Stefan	Milva	1
Vattier	Milva	1
Ciri	Beau	2
Ciri	Cahir	5
Beau	Cahir	1
Cahir	Milva	18
Cahir	Ciri	3
Milva	Fringilla	1
Milva	Assire	1
Ciri	Fringilla	5
Ciri	Assire	2
Fringilla	Assire	5
Fringilla	Merlin	1
Assire	Merlin	1
Merlin	Assire	2
Merlin	Fringilla	1
Assire	Fringilla	9
Assire	King	1
Assire	Albrich	1
King	Albrich	1
Albrich	Assire	1
Assire	Xarthisius	2
Stella	Assire	1
Stella	Emhyr	1
Emhyr	Fringilla	1
Emhyr	Xarthisius	1
Fringilla	Xarthisius	1
Fringilla	Emhyr	1
Xarthisius	Emhyr	1
Emhyr	Cahir	4
Cahir	Emhyr	3
Emhyr	Assire	3
Cahir	Assire	2
Assire	Cahir	1
Cahir	Fringilla	1
Cahir	Seven	2
Milva	Cahir	19
Milva	Seven	1
Seven	Milva	4
Vissegerd	Dandelion	3
Dandelion	Gar	1
Vissegerd	Gar	1
Gar	Geralt	1
Gar	Vissegerd	1
Geralt	Yennefer	4
Dandelion	Seven	3
Geralt	Seven	3
Seven	Dandelion	2
Seven	Cahir	1
Dandelion	Cahir	21
Philippa	Dandelion	1
Milva	Emiel	1
Cahir	Geralt	25
Kayleigh	Mistle	1
Mistle	Kayleigh	1
Falka	Mistle	3
Mistle	Cahir	1
Milva	Yennefer	1
Dandelion	Yennefer	1
Ciri	Mistle	4
Vattier	Ida	1
Ida	Francesca	1
Ida	Henselt	1
Francesca	Henselt	1
Francesca	Ida	1
Philippa	Ida	4
Margarita	Sabrina	3
Margarita	Ida	1
Margarita	Ithlinne	1
Philippa	Ithlinne	1
Sabrina	Ida	2
Sabrina	Ithlinne	1
Ida	Ithlinne	1
Ithlinne	Francesca	1
Francesca	Yennefer	6
Yennefer	Francesca	10
Yennefer	Gar	2
Francesca	Gar	1
Francesca	Ciri	2
Gar	Ciri	1
Gar	Yennefer	1
Ciri	Yennefer	10
Ciri	Francesca	3
Yennefer	Vilgefortz	2
Yennefer	Tissaia	1
Francesca	Vilgefortz	1
Francesca	Tissaia	1
Vilgefortz	Tissaia	1
Vilgefortz	Francesca	1
Tissaia	Francesca	1
Geralt	Francesca	1
Keira	Ciri	1
Ciri	Vilgefortz	4
Vilgefortz	Yennefer	4
Yennefer	Triss	4
Yennefer	Philippa	7
Yennefer	Ciri	7
Ciri	Philippa	1
Philippa	Ciri	3
Fringilla	Philippa	7
Philippa	Fringilla	6
Fringilla	Triss	2
Sabrina	Fringilla	2
Fringilla	Sabrina	1
Fringilla	Keira	1
Sabrina	Keira	1
Sabrina	Triss	2
Yennefer	Keira	1
Keira	Fringilla	1
Keira	Ida	1
Triss	Fringilla	1
Triss	Ida	1
Triss	Blue	1
Philippa	Blue	1
Philippa	Aen	1
Fringilla	Ida	2
Fringilla	Blue	1
Fringilla	Aen	2
Ida	Blue	1
Ida	Aen	2
Blue	Aen	2
Blue	Ida	1
Aen	Ida	2
Aen	Fringilla	1
Ida	Fringilla	1
Fringilla	Yennefer	8
Yennefer	Fringilla	12
Philippa	Yennefer	4
Ciri	Iskra	3
Iskra	Ciri	1
Ciri	Asse	1
Asse	Ciri	1
Iskra	Kayleigh	1
Baron	Philippa	1
Fringilla	Ciri	1
Assire	Ciri	1
Assire	Yennefer	5
Yennefer	Assire	4
Triss	Assire	1
Assire	Rience	1
Rience	Ciri	1
Tissaia	Ida	1
Ida	Sabrina	1
Ida	Assire	1
Ida	Philippa	1
Keira	Francesca	1
Francesca	Falka	3
Falka	Sabrina	1
Falka	Assire	1
Falka	Francesca	1
Sabrina	Falka	1
Assire	Falka	2
Falka	Yennefer	1
Philippa	Falka	2
Falka	Anna	1
Ciri	Anna	1
Anna	Beau	1
Anna	Francesca	1
Beau	Francesca	1
Sabrina	Adalia	1
Adalia	Assire	2
Francesca	Adalia	1
Assire	Adalia	2
Adalia	Yennefer	2
Adalia	Calanthe	1
Adalia	Margarita	1
Adalia	Anna	1
Calanthe	Margarita	1
Calanthe	Anna	1
Margarita	Anna	1
Anna	Assire	1
Geralt	Fringilla	1
Ciri	Sabrina	4
Triss	Emhyr	1
Emhyr	Keira	2
Emhyr	Yennefer	1
Triss	Yennefer	3
Vilgefortz	Sir	3
Vilgefortz	Ida	2
Ida	Yennefer	1
Ida	Margarita	1
Ida	Ciri	2
Yennefer	Margarita	1
Yennefer	Sabrina	2
Margarita	Ciri	2
Margarita	Vilgefortz	1
Sabrina	Vilgefortz	1
Triss	Geralt	1
Sabrina	Yennefer	1
Sabrina	Ciri	1
Fringilla	Two	1
Two	Seven	1
Two	Connor	1
Seven	Connor	1
Vilgefortz	Ciri	1
Geralt	Forest	1
Emiel	Roach	1
Roach	Cahir	1
Geralt	Blue	1
Milva	Blue	1
Blue	Cahir	2
Blue	Milva	1
King	Dandelion	1
Geralt	Ethain	1
Ethain	Cahir	2
Ethain	Dandelion	1
Ciri	Zoltan	2
Cahir	Vissegerd	1
Geralt	Vesemir	1
Geralt	Dyffryn	1
Vesemir	Dandelion	1
Vesemir	Cahir	1
Vesemir	Dyffryn	1
Dandelion	Dyffryn	1
Cahir	Dyffryn	1
Dyffryn	Dandelion	1
Cahir	Roach	1
Cahir	Two	1
Roach	Milva	1
Meve	Geralt	5
Geralt	Meve	3
Meve	Milva	1
Milva	Meve	1
Zuleyka	Philippa	2
Zuleyka	Vesemir	1
Philippa	Vesemir	1
Philippa	Sigrdrifa	1
Vesemir	Sigrdrifa	1
Vesemir	Zyvik	1
Sigrdrifa	Zyvik	1
Jarre	Triss	2
Nenneke	Triss	3
Nenneke	Jarre	2
Triss	Jarre	1
Stefan	Ciri	1
Vysogota	Ciri	20
Ciri	Vysogota	14
Vysogota	Kelpie	2
Kelpie	Ciri	10
Ciri	Kelpie	8
Aen	Ciri	1
Asse	Falka	2
Falka	Asse	1
Kayleigh	Falka	2
Emhyr	Mistle	3
Mistle	Falka	1
Falka	Kayleigh	1
Falka	Ciri	6
Falka	Baron	4
Ciri	Baron	5
Baron	Ciri	2
Ciri	Falka	7
Baron	Asse	1
Mistle	Ciri	11
Mistle	Asse	1
Ciri	Asse	1
Kayleigh	Mistle	3
Kayleigh	Asse	2
Ciri	Mistle	12
Kayleigh	Emhyr	1
Emhyr	Ciri	4
Ciri	Calanthe	2
Calanthe	Ciri	8
Calanthe	Falka	1
Ciri	Emhyr	6
Falka	Emhyr	1
Asse	Kayleigh	1
Baron	Vysogota	1
Falka	Mistle	2
Yennefer	Ciri	16
Mistle	Vysogota	1
Mistle	Kayleigh	2
Milva	Geralt	11
Geralt	Meve	5
Meve	Geralt	3
Geralt	Milva	17
Milva	Meve	1
Ciri	Meve	1
Meve	Milva	3
Milva	Cahir	5
Cahir	Geralt	25
Milva	Roach	2
Roach	Milva	1
Geralt	King	1
Geralt	Ciri	7
Ciri	Geralt	10
Geralt	Forest	2
Geralt	Yennefer	4
Yennefer	Triss	2
Yennefer	Crach	11
Dandelion	Ciri	2
Milva	Dandelion	11
Cahir	Dandelion	5
Geralt	Dandelion	11
Dandelion	Cahir	3
Dandelion	Count	1
Count	Dandelion	1
Milva	Ciri	1
Ciri	Dandelion	1
Ciri	Milva	1
Dandelion	Milva	4
Ciri	Cahir	7
Calanthe	Cahir	1
Vattier	Emhyr	2
Vattier	Cahir	2
Vattier	Ceallach	2
Cahir	Ceallach	1
Cahir	Vattier	2
Ceallach	Vattier	1
Vattier	Vilgefortz	3
Vattier	Rience	5
Rience	Vilgefortz	12
Vilgefortz	Vattier	2
Vilgefortz	Rience	9
Rience	Vattier	8
Ceallach	Rience	2
Ceallach	Meve	1
Meve	Rience	1
Meve	Cahir	1
Rience	Cahir	1
Vattier	Stefan	3
Rience	Stefan	1
Vattier	Carthia	2
Emhyr	Vattier	2
Stefan	Rience	3
Stefan	Vattier	1
Carthia	Vattier	1
Cahir	Forest	1
Cahir	Ciri	5
Forest	Ciri	1
Forest	Geralt	1
Geralt	Cahir	24
Dandelion	Geralt	6
Falka	Joanna	1
Baron	Falka	4
Kelpie	Vysogota	1
Kelpie	Baron	1
Emhyr	Leo	1
Leo	Ciri	3
Ciri	Windsor	2
Ciri	Leo	1
Windsor	Baron	2
Windsor	Ciri	4
Leo	Falka	1
Baron	Windsor	2
Windsor	Leo	1
Falka	Windsor	2
Windsor	Falka	1
Stavro	Baron	3
Stavro	Ciri	6
Ciri	Stavro	3
Little	Stavro	1
Stavro	Falka	1
Windsor	Stavro	1
Cahir	Milva	7
Beau	Geralt	3
Dandelion	Vissegerd	3
Vissegerd	Meve	1
Cahir	Beau	1
Beau	Ciri	1
Emhyr	Cahir	1
Emhyr	Geralt	2
Two	Cahir	1
Yennefer	Vysogota	1
Geralt	Vysogota	1
Geralt	Golan	1
Golan	Geralt	1
Two	Geralt	3
Geralt	Beau	2
Sword	Geralt	1
Codringher	Geralt	1
Geralt	Codringher	1
Geralt	Vilgefortz	1
Codringher	Vilgefortz	1
Cahir	Two	1
Geralt	Emiel	1
Geralt	Aen	1
Aen	Ithlinne	1
Geralt	Ithlinne	1
Geralt	Julia	1
Julia	Baron	2
Julia	Two	1
Baron	Two	1
Baron	Dandelion	1
Baron	Julia	1
Dandelion	Julia	3
Julia	Beau	1
Beau	Baron	1
Geralt	Baron	3
Baron	Anna	1
Anna	Geralt	1
Milva	Beau	1
Dandelion	Beau	1
Beau	Julia	1
Julia	Geralt	1
Baron	Beau	1
Milva	Emiel	1
Emiel	Geralt	1
Count	Radovid	3
Radovid	Count	1
Radovid	King	3
Baron	Count	1
Esterad	Zuleyka	8
Esterad	King	4
King	Zuleyka	3
King	Philippa	1
King	Esterad	3
King	Blue	1
Blue	Esterad	1
Emhyr	King	1
King	Demavend	1
King	Henselt	1
King	Emhyr	2
Demavend	Henselt	1
Demavend	King	1
Demavend	Emhyr	1
Demavend	Foltest	1
Henselt	King	1
Henselt	Emhyr	1
Henselt	Foltest	1
King	Foltest	2
Emhyr	Foltest	4
Carthia	Assire	1
Assire	Vattier	3
Vattier	Assire	5
Assire	Menno	1
Menno	Assire	1
Assire	Carthia	3
Assire	Emhyr	1
Assire	Fringilla	2
Fringilla	Assire	2
Assire	Philippa	3
Philippa	Assire	2
Fergus	Emhyr	1
Emhyr	Esterad	3
Foltest	Esterad	1
Zuleyka	Esterad	5
Esterad	Ciri	1
Esterad	Emhyr	1
Zuleyka	Lebioda	4
Lebioda	Emhyr	1
Emhyr	Zuleyka	1
Jacob	Esterad	1
Lebioda	Esterad	2
Lebioda	Zuleyka	2
Esterad	Lebioda	1
Lebioda	King	1
Duke	Esterad	3
Esterad	Duke	2
Julia	Zuleyka	1
Zuleyka	Duke	1
Zuleyka	King	1
King	Baron	1
Ciri	Zuleyka	1
Esterad	Ithlinne	1
Vilgefortz	Yennefer	3
Yennefer	Vilgefortz	7
Vilgefortz	Philippa	2
Two	Yennefer	1
Crach	Ciri	5
Ciri	Crach	6
Fringilla	Philippa	1
Philippa	Crach	1
Crach	Yennefer	10
Crach	Calanthe	1
Yennefer	Calanthe	1
Ciri	Yennefer	10
Crach	Pavetta	2
Ciri	Pavetta	2
Pavetta	Yennefer	2
Pavetta	Geralt	1
Pavetta	Crach	2
Yennefer	Geralt	3
Geralt	Crach	1
Sigrdrifa	Crach	1
Sigrdrifa	Yennefer	6
Yennefer	Sigrdrifa	7
Sigrdrifa	Ciri	4
Ciri	Sigrdrifa	1
Geralt	Fringilla	1
Emhyr	Vissegerd	1
Ciri	Vissegerd	1
Triss	Crach	5
Crach	Philippa	2
Triss	Yennefer	3
Triss	Ciri	5
Crach	Sigrdrifa	1
Sigrdrifa	Vilgefortz	1
Vilgefortz	Crach	1
Crach	Triss	1
Ciri	Triss	3
Ciri	Vilgefortz	3
Vysogota	Asse	2
Asse	Kelpie	2
Vissegerd	Geralt	1
Vissegerd	Dandelion	1
Geralt	Vissegerd	1
Vissegerd	Ciri	1
Yennefer	Hjalmar	3
Crach	Hjalmar	3
Yennefer	Pavetta	1
Hjalmar	Ciri	1
Hjalmar	Pavetta	1
Calanthe	Radovid	1
Calanthe	Hjalmar	2
Ciri	Radovid	1
Ciri	Hjalmar	2
Radovid	Calanthe	1
Radovid	Ciri	1
Radovid	Hjalmar	1
Hjalmar	Crach	4
Hjalmar	Yennefer	1
Yennefer	Philippa	2
Philippa	Yennefer	2
Philippa	Ciri	3
Philippa	Vilgefortz	1
Triss	Geralt	1
Crach	Two	1
Joanna	Stefan	1
Yennefer	Rience	3
Rience	Ciri	2
Ciri	Rience	3
Vysogota	Rience	1
Rience	Vysogota	1
Rience	Falka	2
Rience	Emhyr	1
Vilgefortz	Sir	2
Vilgefortz	Ithlinne	1
Sir	Ithlinne	1
Vilgefortz	Ardal	1
Ardal	Emhyr	1
Emhyr	Stefan	1
Rience	Duke	1
Duke	Vattier	2
Two	Sir	1
Vysogota	Yennefer	1
Falka	Ori	1
Jan	Two	1
Two	Jan	1
Falka	Rience	1
Ciri	Jan	2
Jan	Ciri	2
Iola	Milo	1
Iola	Nenneke	3
Milo	Nenneke	1
Iola	Jarre	1
Ciri	Nenneke	2
Iola	Ciri	1
Iola	Triss	1
Triss	Nenneke	1
Nenneke	Ciri	1
Ciri	Jarre	2
Jarre	Ciri	2
Jarre	Nenneke	1
Vilgefortz	Ciri	1
Vilgefortz	Triss	1
Rience	Ori	1
Rience	Yennefer	1
Kelpie	Iola	1
Mistle	Geralt	1
Arthur	Merlin	3
Merlin	Arthur	1
Merlin	Sir	2
Arthur	Sir	1
Nimue	Dandelion	3
Dandelion	Nimue	1
Dandelion	Two	1
Nimue	Two	1
Geralt	Nimue	1
Yennefer	Nimue	2
Beau	Ciri	5
Ciri	Nimue	4
Nimue	Ciri	9
Ciri	Lydia	1
Lydia	Nimue	1
Stella	Count	2
Stella	Emhyr	6
Count	Emhyr	6
Count	Stella	4
Emhyr	Vattier	2
Emhyr	Stella	3
Emhyr	Count	1
Emhyr	Beau	1
Nimue	Emhyr	2
Emhyr	Nimue	1
Nimue	King	2
Emhyr	King	1
King	Ciri	3
Ciri	Emhyr	7
Dandelion	Jan	1
Jan	Nimue	1
Cahir	Count	1
Cahir	Dandelion	4
Count	Dandelion	1
Dandelion	Geralt	15
Nimue	Geralt	1
Geralt	Dandelion	28
Geralt	Count	1
Dandelion	Count	3
Margarita	Francesca	4
Francesca	Ida	3
Ciri	Vilgefortz	15
Yennefer	Jan	1
Jan	Vilgefortz	1
Vilgefortz	Ciri	11
Vilgefortz	Yennefer	19
Ciri	Yennefer	40
Yennefer	Ciri	44
Yennefer	Vilgefortz	20
Yennefer	Geralt	25
Geralt	Ciri	34
Geralt	Yennefer	15
Vilgefortz	Emhyr	7
Emhyr	Stefan	2
Emhyr	Yennefer	3
Stefan	Yennefer	2
Stefan	Vilgefortz	3
Yennefer	Stefan	2
Nimue	Everett	1
Reynart	Geralt	7
Reynard	Geralt	1
Beau	Geralt	3
Beau	Roach	1
Geralt	Roach	2
Sir	Geralt	3
Sir	Milva	1
Geralt	Milva	14
Geralt	Cahir	11
Milva	Cahir	6
Cahir	Milva	8
Cahir	Beau	1
Milva	Beau	1
Reynart	Anna	2
Anna	Reynart	1
Anna	Dandelion	3
Anna	Julia	2
Anna	Sir	1
Reynart	Dandelion	3
Reynart	Julia	1
Reynart	Sir	1
Dandelion	Julia	5
Dandelion	Sir	1
Julia	Sir	1
Julia	Geralt	3
Geralt	Sir	3
Cahir	Reynart	2
Reynart	Count	1
Count	Geralt	3
Geralt	Reynart	11
Reynart	Two	1
Geralt	Two	2
Two	Reynart	1
Reynart	Beau	3
Beau	Reynart	3
Beau	Cahir	2
Geralt	Beau	8
Reynart	Cahir	2
Dandelion	Milva	2
Geralt	Julia	1
Beau	Julia	2
Beau	Dandelion	3
Julia	Dandelion	5
Anna	Geralt	3
Geralt	Anna	1
Beau	Anna	1
Dandelion	Fringilla	4
Fringilla	Geralt	12
Geralt	Fringilla	22
Reynart	Milva	2
Fringilla	Milva	4
Anna	Ciri	2
Dandelion	Ciri	7
Ciri	Pavetta	2
Ciri	Dandelion	12
Emhyr	Geralt	4
Milva	Geralt	9
Geralt	Baron	3
Geralt	Palmerin	2
Baron	Palmerin	1
Palmerin	Baron	2
Palmerin	Geralt	1
Milva	Reynart	1
Milva	Ciri	1
Count	Fringilla	1
Baron	Anna	1
Dandelion	Emiel	1
Emiel	Geralt	4
Milva	Fringilla	2
Milva	Baron	6
Fringilla	Baron	1
Baron	Geralt	1
Baron	Milva	7
Milva	Seven	1
Baron	Seven	1
Seven	Baron	1
Seven	Milva	1
Geralt	Gar	1
Fringilla	Fulko	3
Reynart	Roach	1
Sir	Dandelion	1
Sir	Cahir	1
Dandelion	Cahir	2
Dandelion	Roach	2
Ciri	Fringilla	3
Fringilla	Dandelion	3
Jan	Fringilla	1
Jan	Geralt	2
Geralt	King	2
Roach	Two	2
Cahir	Baron	1
Baron	Dandelion	2
Milva	Dandelion	1
Cahir	Geralt	10
Beau	Fringilla	1
Fringilla	Philippa	9
Fringilla	Yennefer	3
Philippa	Fringilla	6
Philippa	Yennefer	1
Keira	Philippa	2
Keira	Fringilla	3
Philippa	Margarita	3
Philippa	Sabrina	4
Fringilla	Margarita	1
Fringilla	Sabrina	3
Margarita	Sabrina	1
Sabrina	Ida	1
Ida	Assire	2
Fringilla	Ciri	2
Fringilla	Triss	3
Ciri	Triss	12
Ciri	Philippa	3
Triss	Philippa	4
Fringilla	Little	1
Dandelion	Little	1
Little	Fringilla	1
Baron	Cahir	1
Fringilla	Cahir	2
Cahir	Fringilla	5
Cahir	Ciri	5
Vilgefortz	Vattier	1
Vilgefortz	Joachim	1
Ardal	Emhyr	1
Stefan	Joachim	1
Morvran	Count	1
Emhyr	Ardal	2
Ardal	Joachim	2
Ardal	Stefan	1
Ardal	Vilgefortz	1
Joachim	Stefan	1
Joachim	Vilgefortz	2
Joachim	Emhyr	4
Stefan	Emhyr	3
Emhyr	Joachim	3
Yennefer	Emhyr	2
Yennefer	Ardal	1
Yennefer	Joachim	1
Ardal	Count	1
Joachim	Count	1
Count	Vilgefortz	1
Vilgefortz	Stefan	1
Fringilla	Vilgefortz	6
Vilgefortz	Fringilla	4
Vilgefortz	Geralt	14
Vilgefortz	Philippa	2
Fringilla	Keira	1
Philippa	Vilgefortz	3
Philippa	Keira	1
Vilgefortz	Keira	1
Vilgefortz	Sabrina	1
Keira	Sabrina	2
Sabrina	Fringilla	3
Fringilla	Assire	4
Guy	Geralt	1
Guy	Reynart	1
Fringilla	Beau	1
Philippa	Francesca	3
Philippa	Ida	1
Sabrina	Philippa	4
Sabrina	Vilgefortz	1
Philippa	Triss	2
Margarita	Fringilla	1
Margarita	Triss	1
Fringilla	Francesca	1
Triss	Francesca	1
Triss	Assire	1
Francesca	Assire	2
Francesca	Philippa	3
Assire	Philippa	4
Assire	Fringilla	1
Assire	Sabrina	2
Ciri	Kelpie	25
Kelpie	Ciri	36
Kelpie	Vesemir	1
Vesemir	Ciri	1
Eredin	Ciri	16
Ciri	Eredin	13
Ciri	Aen	9
Aen	Eredin	2
Ciri	Auberon	9
Auberon	Aen	3
Auberon	King	3
Aen	Auberon	1
Aen	King	1
Auberon	Eredin	3
Eredin	Auberon	2
Auberon	Ciri	6
Ciri	Gar	1
Eredin	Gar	1
Gar	Ciri	1
Gar	Eredin	1
Aen	Ciri	7
Auberon	Geralt	2
Ciri	King	4
Vysogota	Ciri	2
Vysogota	Yennefer	1
Ciri	Vysogota	2
Vysogota	Geralt	2
Kelpie	Aen	1
Kelpie	Eredin	1
Eredin	Kelpie	3
Ciri	Anna	1
Anna	Eredin	1
King	Kayleigh	1
Kayleigh	King	1
Kayleigh	Ciri	1
Eredin	Vysogota	1
Ciri	Little	2
Ciri	Ihuarraquax	3
Little	Ihuarraquax	1
Little	Ciri	3
Ihuarraquax	Ciri	2
Ihuarraquax	Little	1
Gar	Little	1
Kelpie	Little	2
Ihuarraquax	Kelpie	1
Kelpie	Seven	1
Little	Seven	1
Seven	Little	1
Seven	Ciri	1
King	Menno	1
Jarre	Milton	2
Milton	Jarre	2
Jarre	Jan	1
Jan	Jarre	1
Jarre	Sir	1
Sir	Jarre	1
Jarre	Two	3
Two	Jarre	2
Jarre	Geralt	1
Jarre	Nenneke	3
Jarre	Ciri	4
Geralt	Nenneke	1
Geralt	Triss	1
Nenneke	Ciri	1
Nenneke	Triss	6
Jarre	King	1
Adam	Julia	5
Jarre	Dennis	4
Dennis	Jarre	5
Dennis	Nenneke	3
Nenneke	Dennis	1
Nenneke	Jarre	3
Sheldon	Jarre	1
Jarre	Sheldon	1
Sheldon	Zoltan	1
Sheldon	Menno	1
Zoltan	Menno	1
Zoltan	Jarre	3
Menno	Jarre	1
Zoltan	Dennis	2
Zoltan	Vissegerd	1
Zoltan	Julia	1
Dennis	Vissegerd	1
Dennis	Julia	1
Vissegerd	Julia	1
Vissegerd	Dennis	1
Julia	Dennis	1
Julia	Yarpen	1
Dennis	Yarpen	1
Dennis	Emhyr	1
Yarpen	Emhyr	1
Emhyr	Zoltan	1
Dennis	Zoltan	1
Jarre	Zoltan	1
Dennis	Ciri	1
Ciri	Nenneke	1
Kelpie	Ihuarraquax	1
Kelpie	Two	1
Two	Kelpie	1
Two	Ciri	3
King	Nimue	1
Fabio	Yennefer	1
Ciri	Geralt	28
Geralt	Kelpie	3
King	Geralt	3
Nimue	Ithlinne	1
Ithlinne	Nimue	2
Nimue	Jan	1
Ciri	Jarre	3
Jarre	Anna	1
Puttkammer	Baron	1
Puttkammer	Field	1
Field	Puttkammer	1
Puttkammer	Seven	1
Julia	Adam	1
Bronibor	Adam	1
Bronibor	Barclay	1
Adam	Barclay	1
Jarre	Field	2
Jarre	Menno	1
Field	Menno	3
Menno	Field	2
Field	Ramon	1
Iola	Marti	3
Marti	Iola	6
King	Sword	1
King	Assire	1
King	Philippa	3
Iola	Shani	3
Shani	Marti	1
Adam	Jarre	1
Aubry	Julia	1
Barclay	Aubry	3
Aubry	Foltest	2
Foltest	Aubry	1
