Source	Target	Weight
Geralt	Dennis	3
Dennis	Geralt	3
Falwick	Dennis	1
Falwick	Count	2
Dennis	Count	2
Dennis	Falwick	1
Geralt	Count	1
Nenneke	Count	1
Count	Dennis	1
Count	Geralt	1
Iola	Nenneke	1
Yennefer	Geralt	25
Istredd	Geralt	24
Istredd	Yennefer	10
Geralt	Yennefer	7
Yennefer	Istredd	4
Geralt	Herbolth	15
Herbolth	Geralt	12
Geralt	Seven	1
Herbolth	Seven	1
Seven	Sir	1
Sir	Herbolth	1
Istredd	Herbolth	5
Herbolth	Istredd	2
Geralt	Istredd	24
Istredd	Beau	1
Yennefer	Beau	1
Beau	Istredd	1
Vespula	Dandelion	3
Vespula	Geralt	4
Dandelion	Geralt	74
Geralt	Dandelion	88
Dandelion	Gar	2
Geralt	Gar	1
Gar	Dandelion	2
Geralt	Dudu	10
Dandelion	Dudu	3
Dudu	Geralt	4
Vimme	Dandelion	4
Dandelion	Vimme	3
Geralt	Vimme	1
Vimme	Geralt	2
Dandelion	Vespula	4
Dudu	Dandelion	1
Dandelion	Little	6
Dandelion	Sword	4
Little	Sword	1
Little	Geralt	9
Sword	Geralt	2
Geralt	Agloval	12
Agloval	Geralt	11
Dandelion	Teleri	2
Geralt	Teleri	1
Geralt	Essi	29
Teleri	Geralt	1
Teleri	Dandelion	1
Teleri	Essi	1
Dandelion	Essi	11
Essi	Geralt	23
Essi	Dandelion	7
Little	Dandelion	7
Geralt	Little	3
Little	Agloval	4
Little	Essi	4
Agloval	Essi	12
Agloval	Dandelion	3
Dandelion	Duke	1
Geralt	Duke	3
Duke	Dandelion	1
Duke	Geralt	3
Geralt	Zelest	5
Dandelion	Zelest	2
Dandelion	Agloval	3
Zelest	Agloval	4
Agloval	Zelest	2
Zelest	Geralt	7
Zelest	Duke	2
Duke	Agloval	2
Agloval	Duke	1
Dandelion	Veverka	2
Veverka	Dandelion	1
Essi	Little	5
Yennefer	Dandelion	2
Dandelion	Yennefer	1
Essi	Agloval	9
Agloval	Little	3
Essi	Yennefer	1
Duke	Zelest	1
Dandelion	Braenn	2
Sword	Braenn	1
Braenn	Geralt	18
Geralt	Freixenet	15
Freixenet	Geralt	12
Geralt	Eithn̩	13
Eithn̩	Geralt	18
Geralt	Braenn	17
Braenn	Ciri	10
Geralt	Ciri	35
Ciri	Braenn	13
Ciri	Sir	2
Braenn	Sir	2
Sir	Freixenet	2
Braenn	Eithn̩	7
Eithn̩	Braenn	7
Ciri	Geralt	18
Eithn̩	Ciri	10
Ciri	Eithn̩	9
Geralt	Aen	1
Aen	Braenn	2
Aen	Geralt	1
Ciri	Freixenet	6
Braenn	Freixenet	1
Freixenet	Ciri	7
Eithn̩	Venzlav	2
Geralt	Venzlav	6
Venzlav	Eithn̩	1
Venzlav	Freixenet	4
Eithn̩	Freixenet	1
Freixenet	Eithn̩	1
Venzlav	Geralt	2
Freixenet	Braenn	1
Yennefer	Eithn̩	1
Eithn̩	Calanthe	1
Geralt	Calanthe	21
Calanthe	Eithn̩	2
Ciri	Pavetta	2
Pavetta	Ciri	2
Two	Ciri	1
Ciri	Guy	1
Braenn	Mousesack	1
Calanthe	Ciri	1
Calanthe	Mousesack	4
Ciri	Mousesack	2
Mousesack	Ciri	3
Geralt	Mousesack	12
Mousesack	Geralt	8
Yurga	King	3
King	Yurga	2
Yurga	Sir	1
Sir	Yurga	2
Yurga	Yennefer	1
Yennefer	Yurga	1
Geralt	King	1
King	Geralt	3
Geralt	Yurga	27
Yurga	Mousesack	1
Mousesack	Calanthe	5
Calanthe	Geralt	22
Calanthe	Pavetta	6
Geralt	Pavetta	4
Pavetta	Calanthe	8
Pavetta	Geralt	8
Yurga	Visenna	2
Visenna	Geralt	17
Geralt	Visenna	10
Visenna	Yurga	2
Yurga	Geralt	21
Geralt	Triss	1
Yurga	Triss	1
Triss	Geralt	2
Geralt	Roach	2
Yurga	Roach	1
Roach	Yurga	2
Roach	Dandelion	3
Roach	Geralt	2
Dandelion	Calanthe	4
Calanthe	Dandelion	1
Ciri	Dandelion	1
Yurga	Ciri	5
Ciri	Yurga	2
Ciri	Geralt	58
Geralt	Ciri	48
Baron	Dandelion	3
Dandelion	Geralt	13
Dandelion	Yennefer	11
Geralt	Yennefer	19
Geralt	Dandelion	16
Yennefer	Dandelion	8
